variable,Model 6: Full,Model 2: +Family,Model 5: +Topology,Model 3: +Foreign,Model 4: +State,Model 1: Controls
camel_tier1_capital_ratio,3.129*** (0.986),3.182*** (1.003),3.129*** (0.986),3.182*** (1.003),3.182*** (1.003),3.182*** (1.003)
camel_npl_ratio,1.012*** (0.002),1.012*** (0.002),1.012*** (0.002),1.012*** (0.002),1.012*** (0.002),1.012*** (0.002)
camel_roa,0.635*** (0.038),0.635*** (0.038),0.635*** (0.038),0.635*** (0.038),0.635*** (0.038),0.635*** (0.038)
camel_liquid_assets_ratio,1.374 (0.385),1.384 (0.388),1.374 (0.385),1.384 (0.388),1.384 (0.388),1.384 (0.388)
network_page_rank,0.991*** (0.002),,0.991*** (0.002),,,
network_betweenness,1.000* (0.000),,1.000* (0.000),,,
Observations,151127,151127,151127,151127,151127,151127
Subjects,1101,1101,1101,1101,1101,1101
Events,774,774,774,774,774,774
Log Likelihood,-4670.25,-4681.51,-4670.25,-4681.51,-4681.51,-4681.51
AIC Partial,9352.50,9371.02,9352.50,9371.02,9371.02,9371.02
-log2(p) LLR,80.09,69.13,80.09,69.13,69.13,69.13
C-index,0.690,0.644,0.690,0.644,0.644,0.644
